descriptor,pfi_importance,pfi_std
EState_VSA4,0.19391301851908754,0.061547436211140984
AvgIpc,0.07118565853776673,0.024739428593036777
VSA_EState7,0.031508994192908715,0.01411847914879844
FpDensityMorgan3,0.02438097210402279,0.008801175878382798
MolLogP,0.023737545162711038,0.016059633781324346
BCUT2D_LOGPHI,0.021710670106631934,0.008851570989654474
BCUT2D_CHGLO,0.009290065466318321,0.008836843563030968
Chi3n,0.008617111468972649,0.006180349043228577
qed,0.0031734797839974016,0.0034718939591162146
FpDensityMorgan1,0.002710036969054375,0.0029156858370818586
VSA_EState9,0.002236573186883628,0.0038554159372860618
MinAbsEStateIndex,0.0016766615602406443,0.0017718684032097189
Chi3v,0.0016045349356464845,0.0033930781299926966
MinEStateIndex,0.0012316776781152617,0.0009311945437478679
MaxEStateIndex,0.0009774412199332616,0.001892307737247692
VSA_EState3,0.0008671007448728841,0.0018774315023071186
FpDensityMorgan2,0.0007372340480816031,0.00144139483421087
Chi1v,0.0006684207225147509,0.0013229337521772427
VSA_EState1,0.0006600140482331485,0.001133709941874281
MaxAbsEStateIndex,0.000621803155404932,0.0010245246049884764
BCUT2D_MWHI,0.0005614674275108867,0.0013062318206986541
Chi2n,0.0005503171730999234,0.0017758585624566186
VSA_EState8,0.0004953998183648611,0.0013432299662538161
BCUT2D_MRLOW,0.00044766087501844074,0.001959107697055097
BCUT2D_MWLOW,0.00037785827870577825,0.0008515805240296596
BCUT2D_MRHI,0.00035320376871222914,0.0009778073426501708
MolMR,0.00031788863732230556,0.0007304601871861546
Chi2v,0.00031187716730815,0.003414019926173603
Kappa2,0.00030107009289540574,0.0004649593747615582
SMR_VSA6,0.0002901375640584347,0.000626594140927627
NumHAcceptors,0.00025960567030350876,0.0006222201298752654
PEOE_VSA9,0.00022812301228063435,0.0003789032410177658
NOCount,0.00021943920053552057,0.000380149055123945
BalabanJ,0.00020126802988481573,0.0006103869742211564
SMR_VSA5,0.00019875587195035128,0.0005828042395494889
BCUT2D_CHGHI,0.00019555076108456192,0.0004808551700639611
Chi1n,0.0001939485722053158,0.0009531166482641066
fr_unbrch_alkane,0.00017062463671837502,0.0004130942461643226
HeavyAtomMolWt,0.00016887180103833944,0.0006170861657728831
LabuteASA,0.00016231706897167352,0.00042622558987095446
PEOE_VSA1,0.00015578686397790253,0.0002910419816833872
EState_VSA6,0.0001210727507890974,0.00031791260839794634
Kappa3,0.00011575226897062585,0.000134488183025852
TPSA,0.00011056554639516935,0.00015158522802725152
PEOE_VSA8,0.00010887026359038821,0.00021170315802898661
Phi,0.00010367231933936517,0.00038416542957982707
HallKierAlpha,9.215838700364909e-05,0.0005784264019665106
Chi0v,7.199306869543065e-05,0.0006750315819932983
Ipc,7.052249512892183e-05,0.0003963544597768177
Chi4n,6.594764468751402e-05,0.0012104943876792228
Chi0n,5.2292181345137136e-05,0.0002717565072887644
Kappa1,2.741728696045165e-05,8.165149890954244e-05
NumRotatableBonds,2.1053212650623544e-05,0.0002650151970955519
MinAbsPartialCharge,2.058727661626847e-05,7.934677831185258e-05
NumHeteroatoms,1.612328716671385e-05,0.000495152259563771
SlogP_VSA3,1.58870451312354e-05,0.00023082680027184996
EState_VSA5,1.295822293494453e-05,0.0005254408047478017
EState_VSA2,1.2895664295664578e-05,2.7980066983456792e-05
fr_ether,1.2187782516082102e-05,9.966151019965445e-05
BertzCT,6.715630376297188e-06,0.0006464653399670992
EState_VSA9,6.095830293351146e-06,0.00012354401567219136
NumRadicalElectrons,0.0,0.0
MaxAbsPartialCharge,0.0,0.0
PEOE_VSA10,0.0,0.0
PEOE_VSA11,0.0,0.0
PEOE_VSA12,0.0,0.0
PEOE_VSA13,0.0,0.0
PEOE_VSA14,0.0,0.0
PEOE_VSA2,0.0,0.0
PEOE_VSA3,0.0,0.0
PEOE_VSA4,0.0,0.0
PEOE_VSA5,0.0,0.0
PEOE_VSA7,0.0,0.0
SMR_VSA10,0.0,0.0
SMR_VSA2,0.0,0.0
SMR_VSA3,0.0,0.0
SMR_VSA4,0.0,0.0
SMR_VSA7,0.0,0.0
SMR_VSA8,0.0,0.0
SMR_VSA9,0.0,0.0
SlogP_VSA1,0.0,0.0
SlogP_VSA10,0.0,0.0
SlogP_VSA11,0.0,0.0
SlogP_VSA12,0.0,0.0
SlogP_VSA4,0.0,0.0
SlogP_VSA6,0.0,0.0
SlogP_VSA7,0.0,0.0
SlogP_VSA8,0.0,0.0
SlogP_VSA9,0.0,0.0
EState_VSA1,0.0,0.0
EState_VSA10,0.0,0.0
EState_VSA11,0.0,0.0
EState_VSA7,0.0,0.0
EState_VSA8,0.0,0.0
VSA_EState10,0.0,0.0
VSA_EState2,0.0,0.0
VSA_EState4,0.0,0.0
