No,AA,C#,Mw,HLB,EO,Conc,pH,IE,medium
237.0,99.9,13.0,244.05,3.7,1.0,0.1,12.5,64.98,CPS
238.0,99.5,13.0,508.35,12.3,7.0,0.1,12.5,63.3,CPS
239.0,99.5,12.0,650.5,13.5,10.0,0.1,12.5,76.96,CPS
240.0,99.5,18.0,500.25,8.5,5.0,0.1,12.5,57.05,CPS
241.0,99.0,18.0,2047.0,17.3,40.0,0.1,12.5,56.65,CPS
242.0,99.0,55.0,9740.0,18.0,200.0,0.1,12.5,65.15,CPS
243.0,99.5,55.0,2692.0,13.0,40.0,0.1,12.5,31.41,CPS
244.0,97.0,55.0,2692.0,14.0,40.0,0.1,12.5,51.46,CPS
245.0,90.0,13.0,684.55,14.0,11.0,0.1,12.5,91.13,CPS
246.0,99.5,17.0,744.55,13.0,11.0,0.1,12.5,22.39,CPS
247.0,99.5,17.0,1361.25,16.1,25.0,0.1,12.5,24.17,CPS
248.0,99.5,17.0,2462.5,17.9,50.0,0.1,12.5,63.02,CPS
249.0,99.0,17.0,3784.0,20.0,80.0,0.1,12.5,94.04,CPS
250.0,99.8,10.0,270.125,8.1,2.5,0.1,12.5,76.84,CPS
251.0,99.5,10.0,424.3,12.5,6.0,0.1,12.5,-25.5,CPS
252.0,99.0,13.0,1962.0,18.0,40.0,0.1,12.5,62.62,CPS
253.0,99.5,13.0,640.5,13.6,10.0,0.1,12.5,43.24,CPS
254.0,99.5,0.0,3300.0,4.5,8.0,0.1,12.5,88.47,CPS
255.0,99.5,0.0,1100.0,4.0,8.0,0.1,12.5,45.24,CPS
256.0,99.5,0.0,1900.0,21.5,20.0,0.1,12.5,32.59,CPS
257.0,99.5,0.0,8400.0,24.0,164.0,0.1,12.5,-16.67,CPS
258.0,99.5,0.0,14600.0,24.0,272.0,0.1,12.5,-51.66,CPS
259.0,99.5,0.0,12600.0,21.5,190.0,0.1,12.5,54.75,CPS
261.0,64.0,8.0,625.0,13.5,9.5,0.1,12.5,66.84,CPS
262.0,70.0,12.0,1228.0,16.7,20.0,0.1,12.5,95.39,CPS
263.0,50.0,18.0,1310.0,15.0,20.0,0.1,12.5,72.63,CPS
264.0,99.0,9.0,346.0,8.6,0.0,0.1,12.5,22.44,CPS
265.0,100.0,17.0,428.0,4.3,0.0,0.1,12.5,29.49,CPS
270.0,100.0,0.0,2000.0,3.0,,0.1,12.5,91.49,CPS
271.0,100.0,0.0,2500.0,7.0,,0.1,12.5,57.92,CPS
272.0,100.0,0.0,3800.0,1.0,,0.1,12.5,79.68,CPS
273.0,100.0,,333.0,8.0,3.0,0.1,12.5,19.73,CPS
274.0,95.0,,1496.0,17.4,30.0,0.1,12.5,90.72,CPS
275.0,100.0,,1000.0,5.0,,0.1,12.5,77.4,CPS
276.0,100.0,11.0,,6.0,,0.1,12.5,93.27,CPS
278.0,95.0,,2877.0,18.0,60.0,0.1,12.5,58.97,CPS
279.0,99.0,0.0,5900.0,13.0,,0.1,12.5,84.27,CPS
280.0,100.0,,3650.0,7.0,,0.1,12.5,83.86,CPS
281.0,100.0,0.0,6200.0,14.0,,0.1,12.5,45.36,CPS
282.0,100.0,11.0,569.0,13.9,9.0,0.1,12.5,48.12,CPS
283.0,100.0,10.0,425.0,12.4,6.0,0.1,12.5,12.2,CPS
284.0,100.0,,,5.0,2.0,0.1,12.5,72.68,CPS
285.0,100.0,0.0,7900.0,13.0,,0.1,12.5,94.04,CPS
286.0,99.5,13.0,1520.0,17.4,31.0,0.1,12.5,8.29,CPS
287.0,99.5,,,12.5,,0.1,12.5,83.08,CPS
288.0,99.0,14.0,735.0,14.0,,0.1,12.5,88.91,CPS
289.0,70.0,8.0,1526.0,17.3,30.0,0.1,12.5,53.62,CPS
290.0,99.5,0.0,2000.0,15.0,10.0,0.1,12.5,55.94,CPS
291.0,99.5,0.0,5800.0,8.0,20.0,0.1,12.5,88.48,CPS
292.0,35.0,,,,,0.1,12.5,69.12,CPS
293.0,85.0,9.0,1338.7071,,,0.1,12.5,74.28,CPS
294.0,99.5,17.0,,5.0,,0.1,12.5,77.37,CPS
295.0,40.0,21.0,,,,0.1,12.5,40.92,CPS
