No,AA,C#,Mw,HLB,EO,Conc,pH,IE,medium
1.0,99.9,13.0,244.05,3.7,1.0,0.05,0.5,56.43,HCl
2.0,99.5,13.0,508.35,12.3,7.0,0.05,0.5,81.76,HCl
3.0,99.5,12.0,650.5,13.5,10.0,0.05,0.5,85.59,HCl
4.0,99.5,18.0,500.25,8.5,5.0,0.05,0.5,67.38,HCl
5.0,99.0,18.0,2047.0,17.3,40.0,0.05,0.5,74.05,HCl
6.0,99.0,55.0,9740.0,18.0,200.0,0.05,0.5,80.73,HCl
7.0,99.5,55.0,2692.0,13.0,40.0,0.05,0.5,84.1,HCl
8.0,97.0,55.0,2692.0,14.0,40.0,0.05,0.5,73.06,HCl
9.0,90.0,13.0,684.55,14.0,11.0,0.05,0.5,77.65,HCl
10.0,99.5,17.0,744.55,13.0,11.0,0.05,0.5,74.77,HCl
11.0,99.5,17.0,1361.25,16.1,25.0,0.05,0.5,80.04,HCl
12.0,99.5,17.0,2462.5,17.9,50.0,0.05,0.5,73.56,HCl
13.0,99.0,17.0,3784.0,20.0,80.0,0.05,0.5,79.58,HCl
14.0,99.8,10.0,270.13,8.1,3.0,0.05,0.5,79.7,HCl
15.0,99.5,10.0,424.3,12.5,6.0,0.05,0.5,84.71,HCl
16.0,99.0,13.0,1962.0,18.0,40.0,0.05,0.5,81.9,HCl
17.0,99.5,13.0,640.5,13.6,10.0,0.05,0.5,73.64,HCl
18.0,99.5,0.0,3300.0,4.5,8.0,0.05,0.5,78.91,HCl
19.0,99.5,0.0,1100.0,4.0,8.0,0.05,0.5,80.76,HCl
20.0,99.5,0.0,1900.0,21.5,20.0,0.05,0.5,80.45,HCl
21.0,99.5,0.0,8400.0,24.0,164.0,0.05,0.5,77.21,HCl
22.0,99.5,0.0,14600.0,24.0,272.0,0.05,0.5,81.19,HCl
23.0,99.5,0.0,12600.0,21.5,190.0,0.05,0.5,81.63,HCl
24.0,50.0,0.0,62.0,8.3,1.0,0.05,0.5,11.45,HCl
25.0,64.0,8.0,625.0,13.5,10.0,0.05,0.5,83.49,HCl
26.0,70.0,12.0,1228.0,16.7,20.0,0.05,0.5,85.49,HCl
27.0,50.0,18.0,1310.0,15.0,20.0,0.05,0.5,86.26,HCl
28.0,99.0,9.0,346.0,8.6,0.0,0.05,0.5,39.37,HCl
29.0,100.0,17.0,428.0,4.3,0.0,0.05,0.5,30.51,HCl
30.0,100.0,13.0,,,,0.05,0.5,49.31,HCl
31.0,100.0,9.0,,,,0.05,0.5,33.39,HCl
32.0,100.0,9.0,,,,0.05,0.5,48.69,HCl
33.0,97.0,12.0,,,,0.05,0.5,68.37,HCl
34.0,100.0,0.0,2000.0,3.0,,0.05,0.5,82.19,HCl
35.0,100.0,0.0,2500.0,7.0,,0.05,0.5,81.87,HCl
36.0,100.0,0.0,3800.0,1.0,,0.05,0.5,83.87,HCl
37.0,100.0,,333.0,8.0,3.0,0.05,0.5,88.97,HCl
38.0,95.0,,1496.0,17.4,30.0,0.05,0.5,82.65,HCl
39.0,100.0,,1000.0,5.0,,0.05,0.5,90.48,HCl
40.0,100.0,11.0,,6.0,,0.05,0.5,93.62,HCl
41.0,100.0,,394.0,10.9,5.0,0.05,0.5,88.23,HCl
42.0,95.0,,2877.0,18.0,60.0,0.05,0.5,77.64,HCl
43.0,99.0,0.0,5900.0,13.0,,0.05,0.5,82.57,HCl
44.0,100.0,,3650.0,7.0,,0.05,0.5,82.4,HCl
45.0,100.0,0.0,6200.0,14.0,,0.05,0.5,82.95,HCl
46.0,100.0,11.0,569.0,13.9,9.0,0.05,0.5,83.4,HCl
47.0,100.0,10.0,425.0,12.4,6.0,0.05,0.5,88.06,HCl
48.0,100.0,,,5.0,2.0,0.05,0.5,91.98,HCl
49.0,100.0,0.0,7900.0,13.0,,0.05,0.5,82.38,HCl
50.0,99.5,13.0,1520.0,17.4,31.0,0.05,0.5,85.55,HCl
51.0,99.5,,,12.5,,0.05,0.5,89.39,HCl
52.0,99.0,14.0,735.0,14.0,,0.05,0.5,87.61,HCl
53.0,70.0,8.0,1526.0,17.3,30.0,0.05,0.5,82.56,HCl
54.0,99.5,0.0,2000.0,15.0,10.0,0.05,0.5,83.02,HCl
55.0,99.5,0.0,5800.0,8.0,20.0,0.05,0.5,79.69,HCl
56.0,35.0,,,,,0.05,0.5,86.4,HCl
57.0,85.0,9.0,1338.71,,,0.05,0.5,95.28,HCl
58.0,99.5,17.0,,5.0,,0.05,0.5,88.53,HCl
59.0,40.0,21.0,,,,0.05,0.5,47.16,HCl
60.0,99.9,13.0,244.05,3.7,1.0,0.005,0.5,38.35,HCl
61.0,99.5,13.0,508.35,12.3,7.0,0.005,0.5,55.17,HCl
62.0,99.5,12.0,650.5,13.5,10.0,0.005,0.5,66.62,HCl
63.0,99.5,18.0,500.25,8.5,5.0,0.005,0.5,23.68,HCl
64.0,99.0,18.0,2047.0,17.3,40.0,0.005,0.5,67.78,HCl
65.0,99.0,55.0,9740.0,18.0,200.0,0.005,0.5,77.03,HCl
66.0,99.5,55.0,2692.0,13.0,40.0,0.005,0.5,77.0,HCl
67.0,97.0,55.0,2692.0,14.0,40.0,0.005,0.5,72.66,HCl
68.0,90.0,13.0,684.55,14.0,11.0,0.005,0.5,61.99,HCl
69.0,99.5,17.0,744.55,13.0,11.0,0.005,0.5,50.97,HCl
70.0,99.5,17.0,1361.25,16.1,25.0,0.005,0.5,69.05,HCl
71.0,99.5,17.0,2462.5,17.9,50.0,0.005,0.5,89.14,HCl
72.0,99.0,17.0,3784.0,20.0,80.0,0.005,0.5,75.43,HCl
73.0,99.8,10.0,270.13,8.1,3.0,0.005,0.5,59.83,HCl
74.0,99.5,10.0,424.3,12.5,6.0,0.005,0.5,57.41,HCl
75.0,99.0,13.0,1962.0,18.0,40.0,0.005,0.5,71.12,HCl
76.0,99.5,13.0,640.5,13.6,10.0,0.005,0.5,67.12,HCl
77.0,99.5,0.0,3300.0,4.5,8.0,0.005,0.5,14.78,HCl
