C#,Mw,HLB,EO,Conc,pH,IE,medium
13.0,244.05,3.7,1.0,0.05,0.5,56.37357,HCl
13.0,508.35,12.3,7.0,0.05,0.5,81.3512,HCl
12.0,650.5,13.5,10.0,0.05,0.5,85.16205,HCl
18.0,500.25,8.5,5.0,0.05,0.5,67.0431,HCl
18.0,2047.0,17.3,40.0,0.05,0.5,73.3095,HCl
55.0,9740.0,18.0,200.0,0.05,0.5,79.9227,HCl
55.0,2692.0,13.0,40.0,0.05,0.5,83.67949999999999,HCl
55.0,2692.0,14.0,40.0,0.05,0.5,70.8682,HCl
13.0,684.55,14.0,11.0,0.05,0.5,69.885,HCl
17.0,744.55,13.0,11.0,0.05,0.5,74.39614999999999,HCl
17.0,1361.25,16.1,25.0,0.05,0.5,79.63980000000001,HCl
17.0,2462.5,17.9,50.0,0.05,0.5,73.1922,HCl
17.0,3784.0,20.0,80.0,0.05,0.5,78.7842,HCl
10.0,270.13,8.1,3.0,0.05,0.5,79.5406,HCl
10.0,424.3,12.5,6.0,0.05,0.5,84.28644999999999,HCl
13.0,1962.0,18.0,40.0,0.05,0.5,81.081,HCl
13.0,640.5,13.6,10.0,0.05,0.5,73.2718,HCl
0.0,3300.0,4.5,8.0,0.05,0.5,78.51545,HCl
0.0,1100.0,4.0,8.0,0.05,0.5,80.3562,HCl
0.0,1900.0,21.5,20.0,0.05,0.5,80.04775000000001,HCl
0.0,8400.0,24.0,164.0,0.05,0.5,76.82395,HCl
0.0,14600.0,24.0,272.0,0.05,0.5,80.78405,HCl
0.0,12600.0,21.5,190.0,0.05,0.5,81.22184999999999,HCl
0.0,62.0,8.3,1.0,0.05,0.5,5.725,HCl
8.0,625.0,13.5,10.0,0.05,0.5,53.4336,HCl
12.0,1228.0,16.7,20.0,0.05,0.5,59.84299999999999,HCl
18.0,1310.0,15.0,20.0,0.05,0.5,43.13,HCl
9.0,346.0,8.6,0.0,0.05,0.5,38.976299999999995,HCl
17.0,428.0,4.3,0.0,0.05,0.5,30.51,HCl
13.0,,,,0.05,0.5,49.31,HCl
9.0,,,,0.05,0.5,33.39,HCl
9.0,,,,0.05,0.5,48.69,HCl
12.0,,,,0.05,0.5,66.3189,HCl
0.0,2000.0,3.0,,0.05,0.5,82.19,HCl
0.0,2500.0,7.0,,0.05,0.5,81.87,HCl
0.0,3800.0,1.0,,0.05,0.5,83.87,HCl
,333.0,8.0,3.0,0.05,0.5,88.97,HCl
,1496.0,17.4,30.0,0.05,0.5,78.51750000000001,HCl
,1000.0,5.0,,0.05,0.5,90.48,HCl
11.0,,6.0,,0.05,0.5,93.62,HCl
,394.0,10.9,5.0,0.05,0.5,88.23,HCl
,2877.0,18.0,60.0,0.05,0.5,73.758,HCl
0.0,5900.0,13.0,,0.05,0.5,81.7443,HCl
,3650.0,7.0,,0.05,0.5,82.4,HCl
0.0,6200.0,14.0,,0.05,0.5,82.95,HCl
11.0,569.0,13.9,9.0,0.05,0.5,83.4,HCl
10.0,425.0,12.4,6.0,0.05,0.5,88.06,HCl
,,5.0,2.0,0.05,0.5,91.98,HCl
0.0,7900.0,13.0,,0.05,0.5,82.38,HCl
13.0,1520.0,17.4,31.0,0.05,0.5,85.12225000000001,HCl
,,12.5,,0.05,0.5,88.94305,HCl
14.0,735.0,14.0,,0.05,0.5,86.73389999999999,HCl
8.0,1526.0,17.3,30.0,0.05,0.5,57.792,HCl
0.0,2000.0,15.0,10.0,0.05,0.5,82.6049,HCl
0.0,5800.0,8.0,20.0,0.05,0.5,79.29155,HCl
,,,,0.05,0.5,30.24,HCl
9.0,1338.71,,,0.05,0.5,80.988,HCl
17.0,,5.0,,0.05,0.5,88.08735,HCl
21.0,,,,0.05,0.5,18.863999999999997,HCl
13.0,244.05,3.7,1.0,0.005,0.5,38.31165000000001,HCl
13.0,508.35,12.3,7.0,0.005,0.5,54.894149999999996,HCl
12.0,650.5,13.5,10.0,0.005,0.5,66.2869,HCl
18.0,500.25,8.5,5.0,0.005,0.5,23.5616,HCl
18.0,2047.0,17.3,40.0,0.005,0.5,67.1022,HCl
55.0,9740.0,18.0,200.0,0.005,0.5,76.25970000000001,HCl
55.0,2692.0,13.0,40.0,0.005,0.5,76.615,HCl
55.0,2692.0,14.0,40.0,0.005,0.5,70.4802,HCl
13.0,684.55,14.0,11.0,0.005,0.5,55.791000000000004,HCl
