No,AA,C#,Mw,HLB,EO,Conc,pH,IE,medium
119.0,99.9,13.0,244.05,3.7,1.0,0.05,4.9,13.56,NaCl
120.0,99.5,13.0,508.35,12.3,7.0,0.05,4.9,13.08,NaCl
121.0,99.5,12.0,650.5,13.5,10.0,0.05,4.9,43.17,NaCl
122.0,99.5,18.0,500.25,8.5,5.0,0.05,4.9,20.35,NaCl
123.0,99.0,18.0,2047.0,17.3,40.0,0.05,4.9,60.79,NaCl
124.0,99.0,55.0,9740.0,18.0,200.0,0.05,4.9,61.22,NaCl
125.0,99.5,55.0,2692.0,13.0,40.0,0.05,4.9,64.9,NaCl
126.0,97.0,55.0,2692.0,14.0,40.0,0.05,4.9,20.96,NaCl
127.0,90.0,13.0,684.55,14.0,11.0,0.05,4.9,7.9,NaCl
128.0,99.5,17.0,744.55,13.0,11.0,0.05,4.9,35.51,NaCl
129.0,99.5,17.0,1361.25,16.1,25.0,0.05,4.9,58.17,NaCl
130.0,99.5,17.0,2462.5,17.9,50.0,0.05,4.9,59.96,NaCl
131.0,99.0,17.0,3784.0,20.0,80.0,0.05,4.9,45.01,NaCl
132.0,99.8,10.0,270.13,8.1,3.0,0.05,4.9,6.79,NaCl
133.0,99.5,10.0,424.3,12.5,6.0,0.05,4.9,8.25,NaCl
134.0,99.0,13.0,1962.0,18.0,40.0,0.05,4.9,42.45,NaCl
135.0,99.5,13.0,640.5,13.6,10.0,0.05,4.9,49.03,NaCl
136.0,99.5,0.0,3300.0,4.5,8.0,0.05,4.9,-28.64,NaCl
137.0,99.5,0.0,1100.0,4.0,8.0,0.05,4.9,-35.92,NaCl
138.0,99.5,0.0,1900.0,21.5,20.0,0.05,4.9,-2.83,NaCl
139.0,99.5,0.0,8400.0,24.0,164.0,0.05,4.9,6.61,NaCl
140.0,99.5,0.0,14600.0,24.0,272.0,0.05,4.9,-26.41,NaCl
141.0,99.5,0.0,12600.0,21.5,190.0,0.05,4.9,15.13,NaCl
142.0,50.0,0.0,62.0,8.3,1.0,0.05,4.9,-9.18,NaCl
143.0,64.0,8.0,625.0,13.5,10.0,0.05,4.9,7.28,NaCl
144.0,70.0,12.0,1228.0,16.7,20.0,0.05,4.9,-29.59,NaCl
145.0,50.0,18.0,1310.0,15.0,20.0,0.05,4.9,15.29,NaCl
146.0,99.0,9.0,346.0,8.6,0.0,0.05,4.9,22.73,NaCl
147.0,100.0,17.0,428.0,4.3,0.0,0.05,4.9,14.7,NaCl
148.0,100.0,13.0,,,,0.05,4.9,9.45,NaCl
149.0,100.0,9.0,,,,0.05,4.9,22.73,NaCl
150.0,100.0,9.0,,,,0.05,4.9,-30.33,NaCl
151.0,97.0,12.0,,,,0.05,4.9,3.16,NaCl
152.0,100.0,0.0,2000.0,3.0,,0.05,4.9,0.68,NaCl
153.0,100.0,0.0,2500.0,7.0,,0.05,4.9,19.61,NaCl
154.0,100.0,0.0,3800.0,1.0,,0.05,4.9,12.55,NaCl
155.0,100.0,,333.0,8.0,3.0,0.05,4.9,-23.3,NaCl
156.0,95.0,,1496.0,17.4,30.0,0.05,4.9,12.94,NaCl
157.0,100.0,,1000.0,5.0,,0.05,4.9,-6.22,NaCl
158.0,100.0,11.0,,6.0,,0.05,4.9,9.27,NaCl
159.0,100.0,,394.0,10.9,5.0,0.05,4.9,-20.11,NaCl
160.0,95.0,,2877.0,18.0,60.0,0.05,4.9,2.39,NaCl
161.0,99.0,0.0,5900.0,13.0,,0.05,4.9,5.46,NaCl
162.0,100.0,,3650.0,7.0,,0.05,4.9,2.13,NaCl
163.0,100.0,0.0,6200.0,14.0,,0.05,4.9,-17.9,NaCl
164.0,100.0,11.0,569.0,13.9,9.0,0.05,4.9,4.58,NaCl
165.0,100.0,10.0,425.0,12.4,6.0,0.05,4.9,3.02,NaCl
166.0,100.0,,,5.0,2.0,0.05,4.9,-12.83,NaCl
167.0,100.0,0.0,7900.0,13.0,,0.05,4.9,33.89,NaCl
168.0,99.5,13.0,1520.0,17.4,31.0,0.05,4.9,-5.2,NaCl
169.0,99.5,,,12.5,,0.05,4.9,-30.9,NaCl
170.0,99.0,14.0,735.0,14.0,,0.05,4.9,-16.14,NaCl
171.0,70.0,8.0,1526.0,17.3,30.0,0.05,4.9,1.12,NaCl
172.0,99.5,0.0,2000.0,15.0,10.0,0.05,4.9,-11.0,NaCl
173.0,99.5,0.0,5800.0,8.0,20.0,0.05,4.9,4.15,NaCl
174.0,35.0,,,,,0.05,4.9,29.98,NaCl
175.0,85.0,9.0,1338.71,,,0.05,4.9,-23.05,NaCl
176.0,99.5,17.0,,5.0,,0.05,4.9,43.61,NaCl
177.0,40.0,21.0,,,,0.05,4.9,15.9,NaCl
