Medium,Target_IE,Achieved_IE,C#,Mw,HLB,EO,Conc,pH
HCl,60,50.76114317089696,10.0,270.125,8.1,2.5,-0.5778335048832381,0.5
HCl,70,50.76114317089695,10.0,270.13,8.1,3.0,-0.7237696321679115,0.5
HCl,80,50.76114317089695,10.0,270.125,8.1,2.5,-0.7237696321679115,0.5
HCl,90,50.76114317089697,10.0,270.125,8.1,2.5,-0.7237696321679115,0.5
NaCl,60,58.267305823752494,0.0,3800.0,1.0,,0.4437193861094746,4.9
NaCl,70,62.88113569427906,,,,,-0.2859612503138917,4.9
NaCl,80,62.881135694279074,,,,,0.4437193861094746,4.9
NaCl,90,62.881135694279074,,,,,-0.2859612503138917,4.9
CPS,60,58.26730582375248,0.0,3800.0,1.0,,-0.2859612503138917,12.5
CPS,70,62.88113569427906,,,,,0.4437193861094746,12.5
CPS,80,62.88113569427906,,,,,-0.14002512302921843,12.5
CPS,90,62.881135694279074,,,,,0.8815277679634943,12.5
