C#,Mw,HLB,EO,Conc,pH,IE,medium
13.0,244.05,3.7,1.0,0.1,12.5,64.91502,CPS
13.0,508.35,12.3,7.0,0.1,12.5,62.98349999999999,CPS
12.0,650.5,13.5,10.0,0.1,12.5,76.5752,CPS
18.0,500.25,8.5,5.0,0.1,12.5,56.76474999999999,CPS
18.0,2047.0,17.3,40.0,0.1,12.5,56.083499999999994,CPS
55.0,9740.0,18.0,200.0,0.1,12.5,64.4985,CPS
55.0,2692.0,13.0,40.0,0.1,12.5,31.252950000000002,CPS
55.0,2692.0,14.0,40.0,0.1,12.5,49.916199999999996,CPS
13.0,684.55,14.0,11.0,0.1,12.5,82.017,CPS
17.0,744.55,13.0,11.0,0.1,12.5,22.278049999999997,CPS
17.0,1361.25,16.1,25.0,0.1,12.5,24.04915,CPS
17.0,2462.5,17.9,50.0,0.1,12.5,62.70490000000001,CPS
17.0,3784.0,20.0,80.0,0.1,12.5,93.09960000000001,CPS
10.0,270.125,8.1,2.5,0.1,12.5,76.68632000000001,CPS
10.0,424.3,12.5,6.0,0.1,12.5,-25.3725,CPS
13.0,1962.0,18.0,40.0,0.1,12.5,61.9938,CPS
13.0,640.5,13.6,10.0,0.1,12.5,43.0238,CPS
0.0,3300.0,4.5,8.0,0.1,12.5,88.02765,CPS
0.0,1100.0,4.0,8.0,0.1,12.5,45.0138,CPS
0.0,1900.0,21.5,20.0,0.1,12.5,32.42705,CPS
0.0,8400.0,24.0,164.0,0.1,12.5,-16.586650000000002,CPS
0.0,14600.0,24.0,272.0,0.1,12.5,-51.4017,CPS
0.0,12600.0,21.5,190.0,0.1,12.5,54.47625,CPS
8.0,625.0,13.5,9.5,0.1,12.5,42.7776,CPS
12.0,1228.0,16.7,20.0,0.1,12.5,66.773,CPS
18.0,1310.0,15.0,20.0,0.1,12.5,36.315,CPS
9.0,346.0,8.6,0.0,0.1,12.5,22.2156,CPS
17.0,428.0,4.3,0.0,0.1,12.5,29.49,CPS
0.0,2000.0,3.0,,0.1,12.5,91.49,CPS
0.0,2500.0,7.0,,0.1,12.5,57.92,CPS
0.0,3800.0,1.0,,0.1,12.5,79.68,CPS
,333.0,8.0,3.0,0.1,12.5,19.73,CPS
,1496.0,17.4,30.0,0.1,12.5,86.184,CPS
,1000.0,5.0,,0.1,12.5,77.4,CPS
11.0,,6.0,,0.1,12.5,93.27,CPS
,2877.0,18.0,60.0,0.1,12.5,56.021499999999996,CPS
0.0,5900.0,13.0,,0.1,12.5,83.4273,CPS
,3650.0,7.0,,0.1,12.5,83.86,CPS
0.0,6200.0,14.0,,0.1,12.5,45.36,CPS
11.0,569.0,13.9,9.0,0.1,12.5,48.12,CPS
10.0,425.0,12.4,6.0,0.1,12.5,12.2,CPS
,,5.0,2.0,0.1,12.5,72.68,CPS
0.0,7900.0,13.0,,0.1,12.5,94.04,CPS
13.0,1520.0,17.4,31.0,0.1,12.5,8.24855,CPS
,,12.5,,0.1,12.5,82.6646,CPS
14.0,735.0,14.0,,0.1,12.5,88.0209,CPS
8.0,1526.0,17.3,30.0,0.1,12.5,37.534,CPS
0.0,2000.0,15.0,10.0,0.1,12.5,55.6603,CPS
0.0,5800.0,8.0,20.0,0.1,12.5,88.0376,CPS
,,,,0.1,12.5,24.192000000000004,CPS
9.0,1338.7071,,,0.1,12.5,63.138000000000005,CPS
17.0,,5.0,,0.1,12.5,76.98315000000001,CPS
21.0,,,,0.1,12.5,16.368000000000002,CPS
