No,AA,C#,Mw,HLB,EO,Conc,pH,IE,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
1.0,99.9,13.0,244.05,3.7,1.0,0.05,4.9,56.43,,,,,,,,,,,,,,,
2.0,99.5,13.0,508.35,12.3,7.0,0.05,4.9,81.76,,,,,,,,,,,,,,,
3.0,99.5,12.0,650.5,13.5,10.0,0.05,4.9,85.59,,,,,,,,,,,,,,,
4.0,99.5,18.0,500.25,8.5,5.0,0.05,4.9,67.38,,,,,,,,,,,,,,,
5.0,99.0,18.0,2047.0,17.3,40.0,0.05,4.9,74.05,,,,,,,,,,,,,,,
6.0,99.0,55.0,9740.0,18.0,200.0,0.05,4.9,80.73,,,,,,,,,,,,,,,
7.0,99.5,55.0,2692.0,13.0,40.0,0.05,4.9,84.1,,,,,,,,,,,,,,,
8.0,97.0,55.0,2692.0,14.0,40.0,0.05,4.9,73.06,,,,,,,,,,,,,,,
9.0,90.0,13.0,684.55,14.0,11.0,0.05,4.9,77.65,,,,,,,,,,,,,,,
10.0,99.5,17.0,744.55,13.0,11.0,0.05,4.9,74.77,,,,,,,,,,,,,,,
11.0,99.5,17.0,1361.25,16.1,25.0,0.05,4.9,80.04,,,,,,,,,,,,,,,
12.0,99.5,17.0,2462.5,17.9,50.0,0.05,4.9,73.56,,,,,,,,,,,,,,,
13.0,99.0,17.0,3784.0,20.0,80.0,0.05,4.9,79.58,,,,,,,,,,,,,,,
14.0,99.8,10.0,270.13,8.1,3.0,0.05,4.9,79.7,,,,,,,,,,,,,,,
15.0,99.5,10.0,424.3,12.5,6.0,0.05,4.9,84.71,,,,,,,,,,,,,,,
16.0,99.0,13.0,1962.0,18.0,40.0,0.05,4.9,81.9,,,,,,,,,,,,,,,
17.0,99.5,13.0,640.5,13.6,10.0,0.05,4.9,73.64,,,,,,,,,,,,,,,
18.0,99.5,0.0,3300.0,4.5,8.0,0.05,4.9,78.91,,,,,,,,,,,,,,,
19.0,99.5,0.0,1100.0,4.0,8.0,0.05,4.9,80.76,,,,,,,,,,,,,,,
20.0,99.5,0.0,1900.0,21.5,20.0,0.05,4.9,80.45,,,,,,,,,,,,,,,
21.0,99.5,0.0,8400.0,24.0,164.0,0.05,4.9,77.21,,,,,,,,,,,,,,,
22.0,99.5,0.0,14600.0,24.0,272.0,0.05,4.9,81.19,,,,,,,,,,,,,,,
23.0,99.5,0.0,12600.0,21.5,190.0,0.05,4.9,81.63,,,,,,,,,,,,,,,
24.0,50.0,0.0,62.0,8.3,1.0,0.05,4.9,11.45,,,,,,,,,,,,,,,
25.0,64.0,8.0,625.0,13.5,10.0,0.05,4.9,83.49,,,,,,,,,,,,,,,
26.0,70.0,12.0,1228.0,16.7,20.0,0.05,4.9,85.49,,,,,,,,,,,,,,,
27.0,50.0,18.0,1310.0,15.0,20.0,0.05,4.9,86.26,,,,,,,,,,,,,,,
28.0,99.0,9.0,346.0,8.6,0.0,0.05,4.9,39.37,,,,,,,,,,,,,,,
29.0,100.0,17.0,428.0,4.3,0.0,0.05,4.9,30.51,,,,,,,,,,,,,,,
30.0,100.0,13.0,,,,0.05,4.9,49.31,,,,,,,,,,,,,,,
